Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Strixhaven Stadium,FCA,Final Fantasy: Through the Ages,63,normal,uncommon,1,106361,bcf0d751-5c47-4531-add4-acd07b82adf5,0.24,false,false,near_mint,en,USD
Belligerent Yearling,LCI,The Lost Caverns of Ixalan,320,normal,uncommon,1,88905,cf4639ca-d4dc-4630-b696-a8107767cf1a,0.14,false,false,near_mint,en,USD
Fierce Retribution,OTP,Breaking News,2,normal,uncommon,1,93264,92270719-352d-426f-b498-fbeaf8fd087b,0.13,false,false,near_mint,en,USD
Essence Capture,OTP,Breaking News,10,normal,uncommon,1,93358,d2bcfba6-fbd8-487c-8a89-2327c3d07870,0.1,false,false,near_mint,en,USD
Fling,OTP,Breaking News,24,normal,uncommon,1,93079,1cddae19-eb96-475c-9800-17ac57df4c0a,0.14,false,false,near_mint,en,USD
Tyrant's Scorn,OTP,Breaking News,56,normal,uncommon,1,93394,e61f8b36-6ad2-4295-bd1d-7f9e90b23190,0.13,false,false,near_mint,en,USD
Spider-Man Noir,SPM,Marvel's Spider-Man,204,normal,uncommon,1,107886,d9a8b9a4-c9d9-4e9f-80b0-23de71a7423b,0.28,false,false,near_mint,en,USD
Hypothesizzle,OTP,Breaking News,48,normal,uncommon,1,93142,4448d31e-faf4-4281-af48-4f638b939a62,0.12,false,false,near_mint,en,USD
Devoted Duelist,TDM,Tarkir: Dragonstorm,104,foil,common,1,104354,bbf9c673-37b4-48ed-a9ea-13f8e3e6c47b,0.09,false,false,near_mint,en,USD
Sagu Wildling // Roost Seek,TDM,Tarkir: Dragonstorm,157,foil,common,1,104994,d8b43b00-f4d1-436c-bf3f-6d414cd4ce38,0.13,false,false,near_mint,en,USD
Offer Immortality,ONE,Phyrexia: All Will Be One,102,foil,common,1,78779,b0aac10a-6d47-4a6c-8a10-2b7c06f3ff32,0.21,false,false,near_mint,en,USD
City Pigeon,SPM,Marvel's Spider-Man,4,foil,common,1,108442,56d67fb4-5b23-432c-9ffb-39545035c117,0.2,false,false,near_mint,en,USD
"Spider-Man, Web-Slinger",SPM,Marvel's Spider-Man,16,foil,common,1,107651,897418bc-df8c-4c97-b6bf-7c9133a8a577,0.27,false,false,near_mint,en,USD
Thwip!,SPM,Marvel's Spider-Man,20,foil,common,1,107666,b2dac88e-1204-4640-94ce-e1aff434ea06,0.08,false,false,near_mint,en,USD
Daily Bugle Reporters,SPM,Marvel's Spider-Man,6,foil,common,1,107633,530dbeb0-b0cd-473e-a43e-7b23c88650a3,0.11,false,false,near_mint,en,USD
Oscorp Research Team,SPM,Marvel's Spider-Man,40,foil,common,2,107662,a800ffb4-0c48-41eb-b221-cf1d855131d9,0.04,false,false,near_mint,en,USD
Doc Ock's Henchmen,SPM,Marvel's Spider-Man,30,foil,common,1,107659,a383c442-3f4a-4115-97e4-23f0eb88465b,0.04,false,false,near_mint,en,USD
Spider-Man Noir,SPM,Marvel's Spider-Man,67,foil,uncommon,1,107668,bc64366c-2691-48cd-bb4b-a4b088c6f16b,0.19,false,false,near_mint,en,USD
Taxi Driver,SPM,Marvel's Spider-Man,97,foil,common,1,107663,a80d3ed9-5e81-41b7-bb74-ab86cba841c8,0.05,false,false,near_mint,en,USD
Guy in the Chair,SPM,Marvel's Spider-Man,102,foil,common,1,107641,65e97c06-55a6-4841-be0f-055c015df90a,0.14,false,false,near_mint,en,USD
Web-Warriors,SPM,Marvel's Spider-Man,159,foil,uncommon,1,107867,741f5373-b51a-421a-9a74-326f0575c99b,0.14,false,false,near_mint,en,USD
"Prowler, Clawed Thief",SPM,Marvel's Spider-Man,138,foil,uncommon,1,108462,bd31953a-7259-44e3-a94f-013bda68006d,0.1,false,false,near_mint,en,USD
Mechanical Mobster,SPM,Marvel's Spider-Man,168,foil,common,2,107644,6c6d9ecc-2dd1-471a-8678-a2461b1084fa,0.04,false,false,near_mint,en,USD
Ominous Asylum,SPM,Marvel's Spider-Man,181,foil,common,1,108509,4329f94a-9110-4f07-b4a6-f1ccae97ccc9,0.08,false,false,near_mint,en,USD
Savage Mansion,SPM,Marvel's Spider-Man,183,foil,common,1,108647,855f59a5-17a8-4aca-8a4d-f98111eba14c,0.06,false,false,near_mint,en,USD
Phantom Interference,OTJ,Outlaws of Thunder Junction,61,foil,common,1,93023,00bf4dd1-5468-4594-9c7b-0737610f19d4,0.18,false,false,near_mint,en,USD
Djinn of Fool's Fall,OTJ,Outlaws of Thunder Junction,43,foil,common,1,93146,48bfc6af-c651-485e-a1cc-f9d00aeaf812,0.02,false,false,near_mint,en,USD
Daring Thunder-Thief,OTJ,Outlaws of Thunder Junction,41,foil,common,1,93310,b41a2bf7-248c-4f8b-92ec-3010d276cb59,0.04,false,false,near_mint,en,USD
Skulduggery,OTJ,Outlaws of Thunder Junction,107,foil,common,1,93030,03709166-164a-4075-ad0d-ea3b516ab771,0.04,false,false,near_mint,en,USD
Quick Draw,OTJ,Outlaws of Thunder Junction,138,foil,common,1,93168,56399cd0-1214-42b6-be38-f2cbd770915f,0.08,false,false,near_mint,en,USD
Snakeskin Veil,OTJ,Outlaws of Thunder Junction,181,foil,common,1,93052,133fbdec-0d00-433f-9015-5eb091126e3a,0.2,false,false,near_mint,en,USD
Knight Luminary,EOE,Edge of Eternities,23,foil,common,1,107708,34334971-c1b7-4506-a6dd-77f66b3ae4e7,0.08,false,false,near_mint,en,USD
Steelswarm Operator,EOE,Edge of Eternities,80,foil,uncommon,1,107544,ca468b86-f31a-4cd7-a574-eb984bc4bc3e,0.13,false,false,near_mint,en,USD
Mechanozoa,EOE,Edge of Eternities,66,foil,common,1,106948,0cb8d8ce-329a-4a97-b3d8-796703ebcb37,0.09,false,false,near_mint,en,USD
Swarm Culler,EOE,Edge of Eternities,119,foil,common,1,107700,2a8f583c-88b6-4797-b93e-3086845fc326,0.03,false,false,near_mint,en,USD
Beamsaw Prospector,EOE,Edge of Eternities,89,foil,common,2,107734,6f717a3f-c6db-4e8d-8b62-6361ab33d000,0.07,false,false,near_mint,en,USD
Orbital Plunge,EOE,Edge of Eternities,149,foil,common,2,107703,2dc7cc17-5319-4694-99c6-8c56a0b40a44,0.05,false,false,near_mint,en,USD
Germinating Wurm,EOE,Edge of Eternities,187,foil,common,1,107792,fcde173a-6314-4904-bddd-68b2ab1e4867,0.05,false,false,near_mint,en,USD
"Mm'menon, Uthros Exile",EOE,Edge of Eternities,221,foil,uncommon,1,107597,5546c044-5826-48c3-9d28-866f3c3c5f2c,0.19,false,false,near_mint,en,USD
Wurmwall Sweeper,EOE,Edge of Eternities,249,foil,common,1,107105,9ace282a-5901-4d36-ad21-17eb88bc5138,0.11,false,false,near_mint,en,USD
Summon: Shiva,FIN,Final Fantasy,78,foil,uncommon,1,103800,a80511f8-7cb1-4974-afde-8a5cebe13ad7,0.22,false,false,near_mint,en,USD
Stuck in Summoner's Sanctum,FIN,Final Fantasy,76,foil,common,1,106562,6678501e-6349-4e37-ab4c-a31a3d408d52,0.08,false,false,near_mint,en,USD
Dragoon's Wyvern,FIN,Final Fantasy,49,foil,common,1,105729,d92bce20-308e-4841-aaf8-8e20698292e7,0.07,false,false,near_mint,en,USD
Sahagin,FIN,Final Fantasy,71,foil,common,1,106276,516940c7-c271-4f64-af75-c7ba98548382,0.06,false,false,near_mint,en,USD
Rook Turret,FIN,Final Fantasy,69,foil,common,1,106541,4572884d-0c0e-41e7-b219-f76b95fdbd01,0.1,false,false,near_mint,en,USD
Fight On!,FIN,Final Fantasy,100,foil,common,2,106673,e1b0739a-dcc4-4034-96d7-69e551b2f36b,0.18,false,false,near_mint,en,USD
Resentful Revelation,FIN,Final Fantasy,114,foil,common,1,106598,945006ea-c6a1-4ee5-abb2-387c2b6d3123,0.31,false,false,near_mint,en,USD
Prompto Argentum,FIN,Final Fantasy,148,foil,uncommon,1,106546,4c617bcd-05f8-40c2-bb38-489bc863ce6b,0.16,false,false,near_mint,en,USD
Summon: Esper Ramuh,FIN,Final Fantasy,161,foil,uncommon,1,106286,840659ee-1493-4190-a514-c2c9ae14e331,0.2,false,false,near_mint,en,USD
Warrior's Sword,FIN,Final Fantasy,169,foil,common,1,106296,cb98a7dd-542e-4448-b3bb-ff5d67a36535,0.1,false,false,near_mint,en,USD
Item Shopkeep,FIN,Final Fantasy,142,foil,common,1,106293,bd2db3f5-fd0d-4817-af90-6bea1f07e16b,0.07,false,false,near_mint,en,USD
Summon: G.F. Ifrit,FIN,Final Fantasy,163,foil,common,1,106648,c6c73092-5195-4bdc-b039-a699f6e297b2,0.08,false,false,near_mint,en,USD
Summon: Fenrir,FIN,Final Fantasy,203,foil,uncommon,1,105669,93feb9d5-d004-4598-a448-b3488c869c05,0.45,false,false,near_mint,en,USD
Town Greeter,FIN,Final Fantasy,209,foil,common,1,105610,49cd4efa-4df4-4257-9a42-60330f7781e2,0.15,false,false,near_mint,en,USD
Goobbue Gardener,FIN,Final Fantasy,188,foil,common,1,106636,b7c3544a-5dd5-423e-8a40-ac4803db8adc,0.11,false,false,near_mint,en,USD
Gysahl Greens,FIN,Final Fantasy,190,foil,common,1,106494,020dee17-d85b-44c4-9faa-b1ef977956f4,0.14,false,false,near_mint,en,USD
Summon: Fat Chocobo,FIN,Final Fantasy,202,foil,common,1,106533,32eb192b-de6b-4814-8077-628d343d014e,0.18,false,false,near_mint,en,USD
Gigantoad,FIN,Final Fantasy,187,foil,common,1,106642,bc10d648-4053-460f-bc52-9c20477bf6de,0.13,false,false,near_mint,en,USD
Locke Cole,FIN,Final Fantasy,234,foil,uncommon,1,106552,572feb8c-6976-40a8-8a34-b4db836cca56,0.13,false,false,near_mint,en,USD
Rinoa Heartilly,FIN,Final Fantasy,237,foil,uncommon,1,105701,ba79d293-bf42-48b6-a868-5249f4beeb76,0.25,false,false,near_mint,en,USD
Prishe's Wanderings,FIN,Final Fantasy,193,foil,common,1,106658,d6e1dee0-e2cd-4899-a3ea-7d0df717c9ab,0.12,false,false,near_mint,en,USD
Blitzball,FIN,Final Fantasy,254,foil,common,1,106723,92f4ad73-42bf-45c0-8bb6-0b44043c81ef,0.16,false,false,near_mint,en,USD
Magic Pot,FIN,Final Fantasy,263,foil,common,1,106553,57d07ca0-5618-4a90-a605-ca14a193ce3b,0.05,false,false,near_mint,en,USD
"Gongaga, Reactor Town",FIN,Final Fantasy,280,foil,common,2,106580,7beccfa6-3e4b-4460-954e-870cb39e462d,0.12,false,false,near_mint,en,USD
"Treno, Dark City",FIN,Final Fantasy,290,foil,common,1,106686,f6285535-bc44-4274-a886-b14d7c7aaba8,0.19,false,false,near_mint,en,USD
